joint,pos_min,pos_max,vel_min,vel_max,acc_min,acc_max,sample_count
joint_1,-1.496415,1.15529,-8.219469,9.027465,-46.13726,46.122755,2011
joint_2,-0.047181,1.234278,-5.585437,6.901557,-33.181418,39.131431,2011
joint_3,0.323639,2.376394,-9.837988,9.32593,-53.089497,64.389546,2011
joint_4,-3.9e-05,1.691917,-8.800268,8.50143,-48.44124,55.3668,2011
joint_5,0.443897,1.888342,-14.902067,14.93793,-102.863823,84.290837,2011
joint_6,-3.067402,-8.2e-05,-10.852348,18.504179,-83.678803,84.777162,2011
