joint  , pos_min  , pos_max , vel_min  , vel_max , acc_min   , acc_max  , sample_count
joint_1, -1e-06   , 0.001429, -0.000341, 0.000953, -0.007771 ,  0.008776,        50852
joint_2, -0.002937, 0.793029, -1.990066, 1.990424, -18.605801, 18.463131,        50852
joint_3, 0.467314 , 1.574322, -2.76799 , 2.767936, -25.67612 , 25.88078 ,        50852
joint_4, -0.001321, 2.8e-05 , -0.002293, 0.003626, -0.121825 ,  0.169581,        50852
joint_5, 1.567638 , 1.879405, -0.776389, 0.776594, -7.257539 ,  7.202124,        50852
joint_6, -5.8e-05 , 0.001797, -0.00761 , 0.002824, -0.352473 ,  0.253584,        50852
