joint  , pos_min  , pos_max , vel_min  , vel_max  , acc_min  , acc_max , sample_count
joint_1, -0.635949, 0.485313, -1.7e-05 , 0.000288 , -0.029547, 0.029593,       167431
joint_2, -0.034332, 1.226398, -0.000297, 0.009257 , -0.78169 , 0.781686,       167431
joint_3, 0.897735 , 2.329141, -0.008153, 0.004409 , -0.726352, 0.726356,       167431
joint_4, -0.000406, 2.015599, -0.000152, 0.00028  , -0.07857 , 0.078146,       167431
joint_5, 0.249715 , 1.570058, -0.004168, -0.000381, -0.355898, 0.355905,       167431
joint_6, -2.93344 , 0.293049, -0.001492, 1.9e-05  , -0.152251, 0.152807,       167431
