joint,pos_min,pos_max,vel_min,vel_max,acc_min,acc_max,sample_count
joint_1,-1.496415,1.155219,-0.714604,1.061125,-1.022608,1.079275,6285
joint_2,-0.162945,0.876108,-0.631482,0.75573,-0.954898,1.061872,6285
joint_3,0.61995,2.379433,-0.827089,1.022626,-1.000406,1.026552,6285
joint_4,-7.6e-05,1.691801,-0.833109,0.826851,-1.04272,1.053124,6285
joint_5,0.443953,1.888331,-1.051554,0.983604,-1.013661,1.064396,6285
joint_6,-3.067211,0.0,-1.130345,0.395798,-1.048409,1.010341,6285
