joint,pos_min,pos_max,vel_min,vel_max,acc_min,acc_max,sample_count
joint_1,-0.635325,0.484956,-3.740608,3.740611,-24.606685,24.624009,78226
joint_2,-0.036382,1.105236,-2.516952,2.591297,-21.077149,21.05878,78226
joint_3,0.953825,2.330455,-2.726766,2.749454,-23.120316,20.766634,78226
joint_4,-0.000243,2.005674,-3.730686,3.464231,-26.23467,26.16719,78226
joint_5,0.362545,1.569436,-2.934683,2.934756,-29.683631,29.680665,78226
joint_6,-2.933915,0.0,-5.605715,3.741059,-41.502049,33.209662,78226
